circRNA,disease
circ-anapc7,"leukemia, myeloid, acute"
hsa_circ_0000488,"leukemia, myeloid, acute"
hsa_circ_0009910,"leukemia, myeloid, acute"
hsa_circ_100290,"leukemia, myeloid, acute"
circpan3,"leukemia, myeloid, acute"
circrna_100290,"leukemia, myeloid, acute"
circ-hipk2,"leukemia, promyelocytic, acute"
bcrc-3,urinary bladder neoplasms
cdr1as,urinary bladder neoplasms
circcep128,urinary bladder neoplasms
circdock1,urinary bladder neoplasms
circfndc3b,urinary bladder neoplasms
circ-foxo3,urinary bladder neoplasms
circfut8,urinary bladder neoplasms
circ-itch,urinary bladder neoplasms
circlpar1,urinary bladder neoplasms
circmto1,urinary bladder neoplasms
circnr3c1,urinary bladder neoplasms
circpicalm,urinary bladder neoplasms
circptpra,urinary bladder neoplasms
circrgnef,urinary bladder neoplasms
circrip2,urinary bladder neoplasms
circslc8a1,urinary bladder neoplasms
circubxn7,urinary bladder neoplasms
circuvrag,urinary bladder neoplasms
circvangl1,urinary bladder neoplasms
circzfr,urinary bladder neoplasms
circ-zkscan1,urinary bladder neoplasms
cirs-6,urinary bladder neoplasms
ctfrc,urinary bladder neoplasms
hsa_circ_0137439,urinary bladder neoplasms
hsa_circ_0000144,urinary bladder neoplasms
hsa_circ_0000799,urinary bladder neoplasms
hsa_circ_0001073,urinary bladder neoplasms
hsa_circ_0001361,urinary bladder neoplasms
hsa_circ_0001429,urinary bladder neoplasms
hsa_circ_0018069,urinary bladder neoplasms
hsa_circ_0058063,urinary bladder neoplasms
hsa_circ_0068871,urinary bladder neoplasms
hsa_circ_0071662,urinary bladder neoplasms
hsa_circ_0075828,urinary bladder neoplasms
hsa_circ_0137606,urinary bladder neoplasms
hsa_circ_100242,urinary bladder neoplasms
hsa_circrna_102336,urinary bladder neoplasms
circctdp1,urinary bladder neoplasms
circmylk,urinary bladder neoplasms
hsa_circ_001598,urinary bladder neoplasms
hsa_circ_0041103,urinary bladder neoplasms
hsa_circ_0002768,urinary bladder neoplasms
circ-prmt5,urinary bladder neoplasms
circhipk3,bladder urothelial carcinoma
circ-abcb10,breast neoplasms
circacap2,breast neoplasms
circass1,breast neoplasms
circbmpr2,breast neoplasms
circ-cdyl,breast neoplasms
circdennd4c,breast neoplasms
circehmt1,breast neoplasms
circirak3,breast neoplasms
circkdm4c,breast neoplasms
circmyo9b,breast neoplasms
circrna_000911,breast neoplasms
circrna-cer,breast neoplasms
circ-ube2d2,breast neoplasms
hsa_circ_0001098,breast neoplasms
hsa_circ_0004771,breast neoplasms
hsa_circ_0005230,breast neoplasms
hsa_circ_0006528,breast neoplasms
hsa_circ_0007255,breast neoplasms
hsa_circ_0007534,breast neoplasms
hsa_circ_0008039,breast neoplasms
hsa_circ_001783,breast neoplasms
hsa_circ_0025202,breast neoplasms
hsa_circ_0052112,breast neoplasms
hsa_circ_0061825,breast neoplasms
hsa_circ_0068033,breast neoplasms
hsa_circ_0072309,breast neoplasms
hsa_circ_0072995,breast neoplasms
hsa_circ_0103552,breast neoplasms
hsa_circ_0136666,breast neoplasms
hsa_circ_100219,breast neoplasms
hsa_circrna_002178,breast neoplasms
circhipk3,breast neoplasms
circccdc66,breast neoplasms
hsa_circ_0001982,breast neoplasms
hsa_circ_0005239,breast neoplasms
hsa_circ_0000073,breast neoplasms
hsa_circ_0000911,breast neoplasms
hsa_circ_0008717,breast neoplasms
hsa_circ_0001427,"prostatic neoplasms, castration-resistant"
circagfg1,uterine cervical neoplasms
circ-atp8a2,uterine cervical neoplasms
circclk3,uterine cervical neoplasms
circeif4g2,uterine cervical neoplasms
circ-itch,uterine cervical neoplasms
circmto1,uterine cervical neoplasms
circrna_000284,uterine cervical neoplasms
circrna_8924,uterine cervical neoplasms
hsa_circ_0000263,uterine cervical neoplasms
hsa_circ_0000515,uterine cervical neoplasms
hsa_circ_0001038,uterine cervical neoplasms
hsa_circ_0001445,uterine cervical neoplasms
hsa_circ_0004214,uterine cervical neoplasms
hsa_circ_0005576,uterine cervical neoplasms
hsa_circ_0007534,uterine cervical neoplasms
hsa_circ_0023404,uterine cervical neoplasms
hsa_circ_0031288,uterine cervical neoplasms
hsa_circ_0033550,uterine cervical neoplasms
hsa_circ_0060467,uterine cervical neoplasms
hsa_circ_0067934,uterine cervical neoplasms
hsa_circ_0075341,uterine cervical neoplasms
hsa_circ_103973,uterine cervical neoplasms
hsa_circ_cspp1,uterine cervical neoplasms
hsa_circrna_101996,uterine cervical neoplasms
circccdc66,uterine cervical neoplasms
