circRNA,disease,label
hsa_circ_0001859,"arthritis, rheumatoid",1
hsa_circ_0007915,coronary atherosclerotic heart disease,0
circrna_09993,"tuberculosis, pulmonary",1
circdennd4c,breast neoplasms,1
hsa_circ_0082824,"tuberculosis, pulmonary",0
hsa_circ_0002142,acne vulgaris,0
hsa_circ_0037655,bladder urothelial carcinoma,0
circ-itch,osteosarcoma,1
hsa_circrna_086376,active tuberculosis,0
hsa_circ_0000204,"carcinoma, hepatocellular",1
cirs-6,"prostatic neoplasms, castration-resistant",0
hsa_circ_0015756,hepatoblastoma,1
hsa_circ_103973,uterine cervical neoplasms,1
hsa_circ_0003391,hepatocellular steatosis,0
hsa_circ_0076305,"carcinoma, non-small-cell lung",1
circnt5e,glioblastoma,1
circ_stk24,retinal neurodegeneration,0
circ-foxo3,glioblastoma,1
circ-adam9,fatty liver,0
circ2174,cholangiocarcinoma,1
circrbms3,stomach neoplasms,1
hsa_circ_0000267,stomach neoplasms,1
circ-pde8a,pancreatic neoplasms,1
hsa_circ_0070269,"carcinoma, hepatocellular",1
circzfp57,prostatic neoplasms,1
hsa_circ_0000515,uterine cervical neoplasms,1
hsa_circrna_091692,atherosclerosis,0
hsa_circ_0001417,tuberculosis,1
hsa_circ_0001900,endometrial neoplasms,0
circsmarca5,cardiovascular diseases,1
circrna_0084043,asthma,0
circrna-0067835,liver neoplasms,0
hsa_circ_0068871,cardiovascular diseases,0
hsa_circ_0004928,lupus nephritis,0
hsa_circrna_101720,moyamoya disease,1
hsa_circ_0017446,precursor cell lymphoblastic leukemia-lymphoma,0
hsa_circ_0000291,active tuberculosis,0
hsa_circ_0004846,osteosarcoma,1
hsa_circ_0000337,esophageal squamous cell carcinoma,1
hsa_circ_0001417,"depressive disorder, major",0
hsa_circ_0001971,squamous cell carcinoma of head and neck,1
hsa_circ_0006168,facet joint osteoarthritis,0
hsa_circ_0008305,essential hypertension,0
hsa_circ_0006848,diabetes mellitus,0
hsa_circ_0054537,coronary artery disease,1
hsa_circ_0007534,breast neoplasms,1
hsa_circ_0079593,glioma,1
circsema4b,hypopharyngeal neoplasms,0
circ-cdyl,diabetic retinopathy,0
hsa_circ_0001073,myocardial infarction,0
hsa-circrna11783-2,coronary artery disease,1
czranb1,melanoma,0
hsa_circ_0000673,liver neoplasms,0
hsa_circrna_102296,aortic aneurysm,0
hsa_circ_0054345,irradiated hepatic stellate cell,1
hsa_circ_0008365,stomach neoplasms,1
hsa_circ6510-1,alzheimer disease,0
circ-eif4g3,infantile hemangioma,0
hsa_circ_0000495,squamous cell carcinoma of head and neck,1
hsa_circ_0012673,adenocarcinoma of lung,1
cdr1as,triple negative breast neoplasms,1
hsa_circrna_009024,active tuberculosis,1
hsa_circ_0004458,leukemia,0
circnfix,glioma,1
hsa_circ_0062557,"arthritis, rheumatoid",0
hsa_circ_0068033,cutaneous squamous cell carcinoma,0
circular rna wdr77,cardiovascular diseases,1
circpcnx,active pulmonary tuberculosis,0
circagfg1,thyroid neoplasms,0
hsa_circ_0005963,colonic neoplasms,1
hsa_circ_0054633,diabetes mellitus,1
hsa_circ_0004771,breast neoplasms,1
hsa_circ_0000175,uterine cervical neoplasms,0
hsa_circ_0068489,"tuberculosis, pulmonary",0
circlmtk2,multiple sclerosis,0
hsa_circ_0001564,osteosarcoma,1
circsema4b,aortic aneurysm,0
hsa_circ_0000673,"carcinoma, hepatocellular",1
hsa_circrna_067209,squamous cell carcinoma of head and neck,0
hsa_circ_0034398,t2dm with depression,0
hsa_circ_0072995,"lupus erythematosus, systemic",0
hsa_circ_0002908,"tuberculosis, pulmonary",1
hsa_circ_103783,leukoaraiosis,1
circatp2b1,multiple sclerosis,0
circitga7,colorectal neoplasms,1
hsa_circ_0002908,bladder urothelial carcinoma,0
hsa_circ_0026134,salivary adenoid cystic carcinoma,0
hsa_circ_0074362,glioma,1
hsa_circ_0004712,"arthritis, rheumatoid",1
circ_ankib1,osteosarcoma,1
hsa_circ_001895,"carcinoma, renal cell",1
circ-homer1,"leukemia, lymphocytic, chronic, b-cell",0
circgucy1a2,prostatic neoplasms,1
circ-znf609,t2dm with depression,0
circ-pgam1,"leukemia, promyelocytic, acute",0
hsa_circ_0000654,silicosis,0
hsa_circ_100338,"leukemia, myelogenous, chronic, bcr-abl positive",0
hsa-circ-000595,aortic aneurysm,1
hsa_circ_0001742,squamous cell carcinoma of head and neck,1
circrna_001569,stomach neoplasms,1
hsa_circ_0072410,diabetic retinopathy,1
hsa_circ_0067934,uterine cervical neoplasms,1
hsa_circ_0001445,myocardial infarction,0
circ_103124,essential hypertension,0
hsa_circrna_0007334,"carcinoma, pancreatic ductal",1
hsa_circ_0006848,stomach neoplasms,1
hsa_circ_0008717,"carcinoma, non-small-cell lung",1
hsa_circ_0001819,lupus nephritis,1
circrhobtb3,stomach neoplasms,1
hsa_circ_0025039,ischemic stroke,0
circhipk3,"carcinoma, renal cell",1
hsa_circrna_061346,mucocutaneous lymph node syndrome,0
hsa_circ_0056618,coronary artery disease,0
hsa_circ_0015278,"thyroid cancer, papillary",1
hsa_circ_0001725,stomach neoplasms,1
circagfg1,triple negative breast neoplasms,1
hsa_circ_0092012,lymphangiogenesis,0
hsa_circ_0000592,ischemic stroke,0
hsa_circ_0050898,alzheimer disease,0
circrna_11058,rheumatic heart disease,1
hsa_circ_0001461,inflammatory bowel diseases,0
hsa_circ_0034642,glioma,1
hsa_circ_0000792,silicosis,0
hsa_circrna_101873,"arthritis, rheumatoid",1
circmtdh.4,active pulmonary tuberculosis,0
circ_101222,stomach neoplasms,0
hsa_circ_0004846,herpes simplex,0
hsa_circ_0051240,ovarian neoplasms,1
circpvt1,lung neoplasms,1
hsa_circ_0006323,"thyroid cancer, papillary",0
hsa_circ_0092306,stomach neoplasms,1
circ-eif4g3,stomach neoplasms,1
hsa_circrna_0054633,"prostatic neoplasms, castration-resistant",0
circubxn7,urinary bladder neoplasms,1
hsa_circ_0020397,"leukemia, promyelocytic, acute",0
hsa_circ_104871,"arthritis, rheumatoid",1
circrna_003524,hepatocellular steatosis,0
circadamts13,liver neoplasms,1
hsa_circ_0001564,metabolism-related diseases,0
hsa_circ_0049657,lupus nephritis,0
circslc8a1,melanoma,0
hsa_circ_0000518,multiple sclerosis,1
hsa_circ_0005267,chronic thromboembolic pulmonary hypertension,0
hsa_circ_100395,lung neoplasms,1
hsa_circ_0001410,t2dm with depression,0
hsa_circ_0001038,uterine cervical neoplasms,1
circrip2,endometriosis,0
hsa_circ_0018069,multiple system atrophy,0
hsa_circ_102470,pre-eclampsia,0
hsa_circ_0002362,"carcinoma, ovarian epithelial",0
hsa_circ_0053743,retinal neurodegeneration,0
hsa_circ_0123996,hypertension,0
circ-nsd2,"liver cirrhosis, biliary",0
hsa_circ_0049657,"leukemia, myeloid, acute",1
hsa_circ_006100,stomach neoplasms,1
