circRNA,miRNA
bcrc-3,mir-182-5p
cbl.11,mir-6778-5p
cdr1as,mir-1270
cdr1as,mir-1299
cdr1as,mir-7
cdr1as,mir-7-5p
circ_ankib1,mir-19b
circ_arf3,mir-1299
circ_katnal1,mir-145-3p
circ_orc2,mir-19a
circ_slc19a1,mir-497
circ_specc1,mir-526b
circ2174,mir-149
circ-abcb10,let-7a-5p
circ-abcb10,mir-1271
circ-abcb10,mir-203
circ-abcb10,mir-1252
circ-abcb10,mir-340-5p
circ-abcb10,mir-452-5p
circ-abcb10,mir-556-3p
circabcc2,mir-665
circabcc4,mir-1182
circabcc4,mir-3186-3p
circ-acaca,mir-1183
circacap2,mir-29a-3p
circacap2,mir-29b-3p
circ-adam9,mir-217
circadamts13,mir-484
circadamts14,mir-572
circagfg1,mir-195-5p
circagfg1,mir-203
circagfg1,mir-370-3p
circ-akt3,mir-296-3p
circ-akt3,mir-516b-5p
circamotl1l,mir-193a-5p
circ-anapc7,mir-181
circanks1b,mir-149
circasap1,mir-326
circasap1,mir-532-5p
circ-ash2l,mir-34a
circass1,mir-4443
circatp2b1,mir-204-3p
circ-atp8a2,mir-433
circatrnl1,mir-23a-3p
circatxn7,mir-4319
circbach2,mir-139-5p
circ-banp,mir-503
circbirc6,mir-145
circbmpr2,mir-553
circc3p1,mir-4641
circ-cbfb,mir-607
circccdc66,mir-33b
circccdc66,mir-93
circcct3,mir-613
circ-cdc45,mir-516b
circ-cdc45,mir-527
circ-cdyl,mir-1275
circ-cdyl,mir-150-5p
circ-cdyl,mir-892a
circ-cdyl,mir-328-3p
circcep128,mir-145-5p
circ-cep85l,mir-942-5p
circclk3,mir-320a
circ-cspp1,mir-1236-3p
circctdp1,mir-29a-3p
circ-dcaf6,mir-1231
circ-dcaf6,mir-1256
circdennd4c,mir-200b
circdennd4c,mir-200c
circdennd4c,mir-760
circ-dicer1,mir-103a-3p
circ-dicer1,mir-382-5p
circdock1,mir-132-3p
circdock1,mir-196a-5p
circdync1h1,mir-140-5p
circehmt1,mir-1233-3p
circeif4g2,mir-218
circ-eif4g3,mir-335
circ-eno1,mir-22-3p
circepsti1,mir-4753
circepsti1,mir-6809
circepsti1,mir-892b
circepsti1,mir-942
circ-erbb2,mir-503
circ-erbb2,mir-637
circ-ezh2,mir-1265
circfam114a2,mir-762
circ-fam53b,mir-646
circ-fam53b,mir-647
circfarsa,mir-330-5p
circfarsa,mir-326
circfat1,mir-375
circfblim1,mir-346
circfgfr1,mir-381-3p
circfgfr3,mir-22-3p
circfndc3b,mir-1178-3p
circfoxk2,mir-942
circ-foxm1,mir-1179
circ-foxm1,mir-143-3p
circ-foxm1,mir-614
circ-foxo3,mir-138-5p
circ-foxo3,mir-432-5p
circ-foxo3,mir-155
circ-foxo3,mir-191-5p
circ-foxp1,mir-875-3p
circ-foxp1,mir-421
circfut8,mir-570-3p
circgfra1,mir-188-3p
circgfra1,mir-449a
circgucy1a2,mir-143
circhectd1,mir-1256
circhiat1,mir-195-5p
circhiat1,mir-29c-3p
circhiat1,mir-29a-3p
circhiat1,mir-21
circhiat1,mir-3171
circ-hipk2,mir-124-3p
circhipk3,mir-107
circhipk3,mir-124
circhipk3,mir-193a-3p
circhipk3,mir-330-5p
circhipk3,mir-4288
circhipk3,mir-654
circ-homer1,mir-1322
circ-iars,mir-122
circirak3,mir-3607
circ-itch,mir-10a
circ-itch,mir-145
circ-itch,mir-17
circ-itch,mir-224
circ-itch,mir-17-5p
circ-itch,mir-214
circ-itch,mir-22
circ-itch,mir-22-3p
circ-itch,mir-7
circ-itch,mir-216b
circ-itch,mir-128
circ-itch,mir-20a
circ-itch,mir-93-5p
circitga7,mir-370-3p
circkdm4c,mir-548p
circkif4a,mir-139-3p
circkif4a,mir-375
circ-lamp1,mir-615-5p
circlarp4,mir-424
circlarp4,mir-513b-5p
circlarp4,mir-761
circ-ldlrad3,mir-137-3p
circlmtk2,mir-183
circlpar1,mir-762
circman2b2,mir-217
circman2b2,mir-1205
circman2b2,mir-1275
circmat2b,mir-338-3p
circmllt10,mir-509-3-5p
circmmp9,mir-124
circmmp9,mir-1265
