circRNA,miRNA,label,used
circfgfr3,mir-466k,0,True
hsa_circ_0001725,mir-150-5p,1,True
circ-sox4,mir-1270,1,True
hsa_circ_0005239,mir-34a,1,True
hsa_circrna_0054633,mir-1,0,True
cttn5,mir-23b-5p,0,True
hsa_circ_0007915,mir-659-3p,1,True
hsa_circ_0092509,mir-448,1,True
hsa_circ_cspp1,mir-361-5p,1,True
hsa_circ_0068871,mir-181a-5p,1,True
circrna_104433,mir-497-5p,1,True
hsa_circ_0071662,mir-146b-3p,1,True
hsa_circ_0091581,mir-526b,1,True
circubap2,mir-339-5p,1,True
circ-rad23b,mir-5095,1,True
circmylk,mir-29a-3p,1,True
circitga7,mir-370-3p,1,True
circrbms3,mir-153,1,True
hsa_circ_0015278,mir-141-3p,1,True
circrna_0047905,mir-4516,1,True
hsa_circ_0008305,mir-429,1,True
hsa_circ_0137606,mir-1231,1,True
circ-dicer1,mir-382-5p,1,True
circ_katnal1,mir-145-3p,1,True
circ_stk17a,mir-874,0,True
hsa_circ_0046600,mir-640,1,True
circrpms1,mir-203,1,True
hsa_circ_0000615,akt3,1,True
circrna_100290,mir-136-5p,1,True
hsa_circ_0074027,mir-185-3p,1,True
hsa_circ_0072668,mir-19b,0,True
hsa_circ_0001461,mir-548g,1,True
hsa_circ_0041946,mir-485-3p,0,True
circ-smad2,mir-629,1,True
hsa_circ_001569,mir-377-3p,0,True
circr-284,mir-221,1,True
circbach2,mir-139-5p,1,True
circmyc,mir-1236,1,True
hsa_circ_009755,mir-29a-5p,1,True
hsa_circ_0002062,hsa-mir-942-5p,1,True
circsema4b,mir-431,1,True
circ-anapc7,mir-10b-5p,0,True
hsa_circ_0000681,mir-181b,0,True
hsa_circ_0014243,hsa-mir-10a-5p,1,True
circrna_0001073,mir-361-3p,0,True
circrna_101368,mir-200a,1,True
hsa_circ_0000140,mir-31,1,True
circ_drosha,mir-1252-5p,1,True
hsa_circ_102485,hsa-mir-943,1,True
hsa_circ_0093996,mir-183,1,True
hsa_circ_0018069,mir-454-3p,1,True
circnr3c1,mir-27a-3p,1,True
hsa_circ_0032970,hsa-mir-130a-3p,1,True
hsa_circ_0000218,mir-139-3p,1,True
circdock1,mir-196a-5p,1,True
hsa_circ_0034398,mir-518d-5p,0,True
hsa_circ_0005267,mir-4688,0,True
hsa_circ_0001445,mir-620,1,True
hsa_circ_0006168,mir-100,1,True
circrna_100290,mir-378a,1,True
circslc8a1,mir-130b,1,True
hsa_circ_0137008,mir-338-5p,1,True
circpan3,mir-183-5p-xiap,1,True
hsa_circ_0000378,mir-326-3p,0,True
hsa_circ_0005870,hsa-mir-619-5p,1,True
hsa_circ_0001721,mir-599,1,True
hsa_circrna_086376,mir-7,1,True
hsa_circ_009755,mir-585-5p,1,True
hsa_circ_0000495,mir-1252-5p,0,True
circadamts14,mir-572,1,True
circpicalm,mir-1265,1,True
hsa_circ_0060060,mir-144-3p,1,True
circ-abcb10,mir-1252,1,True
circ-foxo3,mir-191-5p,1,True
hsa_circ_0014359,mir-153,1,True
hsa_circrna_0054633,mir-23b,0,True
circ-anapc7,mir-181,1,True
hsa_circ_0126991,mir-665,0,True
circfoxo3,e2f1,1,True
circ-cspp1,mir-1236-3p,1,True
hsa_circ_0001946,mir-135a-5p,1,True
hsa_circrna_104310,mir-489-3p,1,True
hsa_circ_0006215,mir-378a-3p,1,True
hsa_circ_0005870,hsa-mir-6807-3p,1,True
circhla-c,mir-150,1,True
hsa_circ_0002346,mir-182,1,True
hsa_circ_407176,hsa-mir-522-3p,1,True
circpip5k1a,mir-let-7a,0,True
circ-prkci,mir-545,1,True
hsa_circ_0006323,mir-130a-3p,1,True
hsa_circ_0005198,mir-1294,1,True
circ-smad2,mir-15a,0,True
hsa_circrna_061346,mir-5193,1,True
hsa_circ_092516,mir-133a,0,True
circmmp9,mir-103a,0,True
circ-dicer1,mir-103a-3p,1,True
circmto1,mir-6893,1,True
hsa_circ_0037655,mir-214,1,True
circ-foxo3,mir-155,1,True
hsa_circ_0005027,mir-548c-3p,1,True
circlmtk2,mir-30,0,True
circ-zeb1.33,mir-200a-3p,1,True
circrna_100284,mir-217,1,True
hsa_circ_0034642,mir-1205,1,True
hsa_circ_0025202,mir-374a,0,True
circrna_104718,mir-218-5p,1,True
circrna_000543,mir-9,1,True
circpum1,mir-6753-5p,1,True
hsa_circ_0044520,mir-4726-5p,1,True
circubap2,mir-96-3p,1,True
circtp63,mir-449,0,True
circvangl1,mir-1184,1,True
hsa_circ_0072083,mir-545-3p,1,True
circsmo742,mir-338-3p,1,True
circkif4a,mir-139-3p,1,True
circular rna wdr77,mir-124,1,True
hsa_circ_0000592,mir-367-3p,1,True
circcct3,mir-613,1,True
hsa_circ_0076248,mir-181a,1,True
cirs-6,mir-653,1,True
hsa_circrna_014213,mir-5088-5p,1,True
hsa_circ_0002577,mir-197,1,True
circnt5e,mir-422a,1,True
circrna.2837,mir-34,1,True
circ-prmt5,mir-382,1,True
circrna.1030,mir-152,0,True
hsa_circ_0089810,mir-5088-5p,0,True
hsa_circ_0021093,mir-766-3p,1,True
circrna-cer,mir-136,1,True
circ-zkscan1,mir-1178-3p,1,True
hsa_circ_100242,mir-145-5p,1,True
hsa_circ_0008797,mir-1200,0,True
circpdss1,mir-186-5p,1,True
hsa_circ_0011780,mir-544a,1,True
hsa_circ_0001946,ube2a,1,True
circsema4b,mir-197,0,True
hsa_circ_0008309,mir-1290,1,True
hsa_circ_0102049,mir-1304-5p,1,True
circfat1,mir-375,1,True
circ-notch1,mir-449c-5p,1,True
circptpra,mir-636,1,True
hsa_circ_104075,mir-582-3p,1,True
hsa_circ_0001073,mir-626,1,True
circpvt1,mir-124-3p,1,True
circrna_15698,mir-185,1,True
circ-itch,mir-20a,1,True
hsa_circ_0056836,mir-766-3p,1,True
hsa_circ_0054211,mir-222,0,True
hsa_circ_0032891,mir-139-5p,0,True
circslc7a6,mir-21,1,True
circ-prmt5,mir-377,1,True
circ-cdyl,mir-892a,1,True
hsa_circ_0005198,mir-506-3p,0,True
hsa_circ_0009361,mir-582,1,True
circ-cdyl,mir-328-3p,1,True
cirs-133,mir-133,1,True
hsa_circ_0000177,mir-638,1,True
hsa_circ_0007874,mir-664,0,True
hsa_circ_0053743,mir-125b-1,0,True
hsa_circ_0033550,mir-942-5p,1,True
circdennd4c,mir-200c,1,True
hsa_circ_0057481,mir-425,0,True
hsa_circ_0059655,mir-338-3p,1,True
hsa_circrna_100834,mir-873-5p,1,True
circpip5k1a,mir-1273a,1,True
circkdm4c,mir-548p,1,True
hsa_circ_00001666,mir-1229,1,True
hsa_circ_0137439,mir-142-5p,1,True
circ-itch,mir-216b,1,True
hsa_circ_0042666,mir-223,1,True
hsa_circ_0000488,hsa-mir-496,1,True
hsa_circrna_104310,mir-499a-3p,1,True
circbmpr2,mir-553,1,True
circfoxo3,id-1,1,True
circ-cep85l,mir-942-5p,1,True
hsa_circrna_014213,mir-6812-5p,1,True
circ-nsd2,mir-199b-5p,1,True
hsa_circ_0074026,mir-1304,1,True
hsa-circ-0040809,mir-585-5p,0,True
hsa_circrna_104387,crkl,0,True
hsa_circ_0074027,mir-518a-5p,1,True
hsa_circrna_100833,mir-139b-5p,1,True
hsa_circ_0051240,mir-637,1,True
hsa_circ_0001772,mir-149,1,True
hsa_circrna_004662,mir-4713-5p,1,True
hsa_circ_0002142,mir-625-5p,1,True
circrna_atp9b,mir-138-5p,1,True
hsa_circ_0007843,mir-518c-5p,1,True
hsa_circ_0072391,mir-503-5p,1,True
circasap1,mir-532-5p,1,True
circrhobtb3,mir-654-3p,1,True
hsa_circ_0014130,mir-600,1,True
circhectd1,mir-1256,1,True
circdync1h1,mir-140-5p,1,True
