miRNA,disease
mir-181,"leukemia, myeloid, acute"
mir-496,"leukemia, myeloid, acute"
mir-20a-5p,"leukemia, myeloid, acute"
mir-203,"leukemia, myeloid, acute"
mir-135-5p,"leukemia, myeloid, acute"
mir-124-3p,"leukemia, promyelocytic, acute"
mir-182-5p,urinary bladder neoplasms
mir-1270,urinary bladder neoplasms
mir-145-5p,urinary bladder neoplasms
mir-132-3p,urinary bladder neoplasms
mir-1178-3p,urinary bladder neoplasms
mir-191-5p,urinary bladder neoplasms
mir-570-3p,urinary bladder neoplasms
mir-17,urinary bladder neoplasms
mir-224,urinary bladder neoplasms
mir-762,urinary bladder neoplasms
mir-221,urinary bladder neoplasms
mir-27a-3p,urinary bladder neoplasms
mir-1265,urinary bladder neoplasms
mir-636,urinary bladder neoplasms
mir-548,urinary bladder neoplasms
mir-1305,urinary bladder neoplasms
mir-130b,urinary bladder neoplasms
mir-494,urinary bladder neoplasms
mir-1247-3p,urinary bladder neoplasms
mir-223,urinary bladder neoplasms
mir-1184,urinary bladder neoplasms
mir-377,urinary bladder neoplasms
mir-653,urinary bladder neoplasms
mir-107,urinary bladder neoplasms
mir-142-5p,urinary bladder neoplasms
mir-217,urinary bladder neoplasms
mir-31-5p,urinary bladder neoplasms
mir-626,urinary bladder neoplasms
mir-491-5p,urinary bladder neoplasms
mir-205-5p,urinary bladder neoplasms
mir-23c,urinary bladder neoplasms
mir-3666,urinary bladder neoplasms
mir-454-3p,urinary bladder neoplasms
mir-181b-5p,urinary bladder neoplasms
mir-34a-5p,urinary bladder neoplasms
mir-181a-5p,urinary bladder neoplasms
mir-146b-3p,urinary bladder neoplasms
mir-1224-5p,urinary bladder neoplasms
mir-1231,urinary bladder neoplasms
mir-515-5p,urinary bladder neoplasms
mir-29a-3p,urinary bladder neoplasms
mir-101,urinary bladder neoplasms
mir-103a-3p,urinary bladder neoplasms
mir-29a,urinary bladder neoplasms
mir-30c,urinary bladder neoplasms
mir-124,bladder urothelial carcinoma
let-7a-5p,breast neoplasms
mir-29a-3p,breast neoplasms
mir-29b-3p,breast neoplasms
mir-4443,breast neoplasms
mir-553,breast neoplasms
mir-1275,breast neoplasms
mir-200b,breast neoplasms
mir-200c,breast neoplasms
mir-1233-3p,breast neoplasms
mir-3607,breast neoplasms
mir-548p,breast neoplasms
mir-4316,breast neoplasms
mir-449a,breast neoplasms
mir-136,breast neoplasms
mir-1236,breast neoplasms
mir-1287,breast neoplasms
mir-3942-3p,breast neoplasms
mir-4760-3p,breast neoplasms
mir-653,breast neoplasms
mir-618,breast neoplasms
mir-7-5p,breast neoplasms
mir-335-5p,breast neoplasms
mir-593,breast neoplasms
mir-515-5p,breast neoplasms
mir-200c-3p,breast neoplasms
mir-182-5p,breast neoplasms
mir-125a-5p,breast neoplasms
mir-326,breast neoplasms
mir-659,breast neoplasms
mir-492,breast neoplasms
mir-30c-2-3p,breast neoplasms
mir-1299,breast neoplasms
mir-485-3p,breast neoplasms
mir-328-3p,breast neoplasms
mir-124,breast neoplasms
mir-33b,breast neoplasms
mir-93,breast neoplasms
mir-143,breast neoplasms
mir-34a,breast neoplasms
mir-1271,breast neoplasms
mir-181c-5p,"prostatic neoplasms, castration-resistant"
mir-370-3p,uterine cervical neoplasms
mir-433,uterine cervical neoplasms
mir-320a,uterine cervical neoplasms
mir-218,uterine cervical neoplasms
mir-93-5p,uterine cervical neoplasms
mir-6893,uterine cervical neoplasms
mir-506,uterine cervical neoplasms
