miRNA,disease,label,used
mir-124,cardiovascular diseases,1,True
mir-1305,urinary bladder neoplasms,1,True
mir-1,"depressive disorder, major",0,True
mir-19a,aortic aneurysm,1,True
let-7a-5p,breast neoplasms,1,True
mir-514a-5p,infantile hemangioma,1,True
mir-659-3p,liver neoplasms,1,True
mir-361-5p,uterine cervical neoplasms,1,True
mir-5572,"thyroid cancer, papillary",1,True
mir-205-5p,urinary bladder neoplasms,1,True
mir-485-5p,uterine cervical neoplasms,1,True
hsa-mir-501-5p,"diabetes mellitus, type 2",1,True
mir-339-5p,esophageal neoplasms,1,True
mir-876-5p,"thyroid cancer, papillary",1,True
mir-526b,stomach neoplasms,1,True
mir-548p,breast neoplasms,1,True
mir-1250-3p,hepatoblastoma,1,True
mir-4516,stomach neoplasms,1,True
mir-370-3p,uterine cervical neoplasms,1,True
mir-101b,moyamoya disease,0,True
mir-382-5p,glioma,1,True
mir-516b,glioma,1,True
mir-645,multiple system atrophy,0,True
mir-4288,nasopharyngeal carcinoma,1,True
mir-345-3p,myocardial senescence,0,True
mir-432-5p,glioblastoma,1,True
mir-874,"lymphoma, large b-cell, diffuse",0,True
mir-122,colonic neoplasms,1,True
mir-572,"carcinoma, hepatocellular",1,True
mir-615-5p,"carcinoma, non-small-cell lung",1,True
mir-640,"carcinoma, hepatocellular",1,True
mir-204-5p,diabetic cataract,1,True
mir-10a,"carcinoma, ovarian epithelial",1,True
mir-32,"thyroid cancer, papillary",0,True
akt3,hirschsprung disease,1,True
mir-486-5p,"carcinoma, hepatocellular",1,True
mir-155-5p,hypopharyngeal neoplasms,0,True
mir-185-3p,"carcinoma, non-small-cell lung",1,True
mir-26a,osteoarthritis,1,True
mir-377-3p,sciatica,0,True
mir-1179,"thyroid cancer, papillary",1,True
mir-526b-5p,squamous cell carcinoma of head and neck,1,True
mir-101a-3p,ovarian neoplasms,0,True
mir-139-5p,"thyroid cancer, papillary",1,True
mir-1236,breast neoplasms,1,True
mir-1178-3p,urinary bladder neoplasms,1,True
mir-29a-5p,squamous cell carcinoma of head and neck,1,True
hsa-mir-942-5p,chronic thromboembolic pulmonary hypertension,1,True
mir-10b-5p,"carcinoma, non-small-cell lung",0,True
mir-211,bladder urothelial carcinoma,0,True
mir-661,"arthritis, rheumatoid",1,True
hsa-mir-10a-5p,hypertension,1,True
mir-138,colorectal neoplasms,1,True
mir-661,glioma,1,True
mir-454-3p,urinary bladder neoplasms,1,True
mir-620,uterine cervical neoplasms,1,True
mir-100,esophageal squamous cell carcinoma,1,True
mir-196a-5p,squamous cell carcinoma of head and neck,1,True
mir-378a,squamous cell carcinoma of head and neck,1,True
mir-296,sciatica,0,True
mir-4753-3p,"thyroid cancer, papillary",1,True
nampt,osteoarthritis,1,True
mir-27a-3p,urinary bladder neoplasms,1,True
mir-6778-5p,colorectal neoplasms,1,True
mir-133a-3p,glioma,0,True
